1000	2e-06
2000	2e-06
3000	3e-06
4000	3e-06
5000	2e-06
6000	2e-06
7000	5e-06
8000	4e-06
9000	6e-06
10000	1e-06
11000	2e-06
12000	2e-06
13000	2e-06
14000	3e-06
15000	2e-06
16000	2e-06
17000	3e-06
18000	3e-06
19000	2e-06
20000	2e-06
21000	3e-06
22000	2e-06
23000	4e-06
24000	2e-06
25000	3e-06
26000	3e-06
27000	3e-06
28000	6e-06
29000	2e-06
30000	2e-06
31000	2e-06
32000	2e-06
33000	1e-05
34000	2e-06
35000	3e-06
36000	2e-06
37000	2e-06
38000	2e-06
39000	2e-06
40000	3e-06
41000	2.3e-05
42000	3e-06
43000	2e-06
44000	1e-06
45000	2e-06
46000	2e-06
47000	6e-06
48000	2e-06
49000	2e-06
50000	3e-06
51000	1e-05
52000	3e-06
53000	2e-06
54000	4e-06
55000	2e-06
56000	2e-06
57000	4e-06
58000	3e-06
59000	2e-06
60000	5e-06
61000	3e-06
62000	2e-06
63000	3e-06
64000	2e-06
65000	3e-06
66000	3e-06
67000	2e-06
68000	2e-06
69000	2e-06
70000	2e-06
71000	2e-06
72000	3e-06
73000	5e-06
74000	2e-06
75000	3e-06
76000	3e-06
77000	3e-06
78000	4e-06
79000	2e-06
80000	3e-06
81000	2e-06
82000	3e-06
83000	2e-06
84000	3e-06
85000	3e-06
86000	2e-06
87000	3e-06
88000	2e-06
89000	2e-06
90000	2e-06
91000	2e-06
92000	2e-06
93000	4e-06
94000	3e-06
95000	3e-06
96000	5e-06
97000	3e-06
98000	2e-06
99000	2e-06
100000	5e-06
